종목명,현재가,등락률,거래량,거래대금,전일거래량,종목코드,차트링크,시가총액,수급일자,기관순매수,외국인순매수
체시스,1016.0,-0.49%,1025689.0,1077.0,105438.0,033250,https://kr.tradingview.com/symbols/KRX-033250/,325억,2026.02.02,9332,-120269
대호에이엘,1379.0,-0.58%,592496.0,810.0,439937.0,069460,https://kr.tradingview.com/symbols/KRX-069460/,"1,201억",2026.02.02,-26848,-80507
구영테크 *,2455.0,-0.81%,285939.0,709.0,299134.0,053270,https://kr.tradingview.com/symbols/KRX-053270/,673억,2026.02.02,-4439,54710
SJM,3630.0,-0.82%,39573.0,143.0,60199.0,123700,https://kr.tradingview.com/symbols/KRX-123700/,566억,2026.02.02,41,-10473
평화산업,950.0,-0.84%,210853.0,199.0,392376.0,090080,https://kr.tradingview.com/symbols/KRX-090080/,522억,2026.02.02,140,-26754
일지테크 *,4685.0,-0.85%,188940.0,897.0,254027.0,019540,https://kr.tradingview.com/symbols/KRX-019540/,633억,2026.02.02,-2408,25404
삼원강재,2340.0,-0.85%,23647.0,55.0,28853.0,023000,https://kr.tradingview.com/symbols/KRX-023000/,936억,2026.02.02,1676,-117
엔브이에이치코리아 *,2280.0,-0.87%,225227.0,508.0,137463.0,067570,https://kr.tradingview.com/symbols/KRX-067570/,961억,2026.02.02,2126,-66082
아이윈 *,713.0,-0.97%,56905.0,41.0,201447.0,090150,https://kr.tradingview.com/symbols/KRX-090150/,299억,2026.02.02,-13239,3001
디와이,5050.0,-0.98%,170017.0,862.0,149815.0,013570,https://kr.tradingview.com/symbols/KRX-013570/,"1,329억",2026.02.02,68,10482
인지컨트롤스,7060.0,-0.98%,213345.0,1518.0,136439.0,023800,https://kr.tradingview.com/symbols/KRX-023800/,"1,116억",2026.02.02,1353,38642
대유에이텍,1001.0,-0.99%,152449.0,153.0,159775.0,002880,https://kr.tradingview.com/symbols/KRX-002880/,468억,2026.02.02,-2072,-17885
서연이화,14920.0,-1.00%,310156.0,4700.0,289366.0,200880,https://kr.tradingview.com/symbols/KRX-200880/,"4,033억",2026.02.02,12815,-9289
